Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/12/2015 09:50:00 AM,Chevrolet,White,,Illinois,1700.0,S,LAKE SHORE,DR,1800,S,LAKESHORE DR,,Broken Down,15-02662328
06/12/2015 09:48:00 AM,Suzuki,White,L451124,Illinois,4155.0,S,RICHMOND,ST,4158,S,RICHMOND,,CDOT Street Resurfacing,15-02662149
06/12/2015 09:45:00 AM,Chevrolet,Silver,E599432,Illinois,7034.0,S,CHAPPEL,AVE,7009,S,PAXTON,,Water Management,15-02662761
06/12/2015 09:45:00 AM,Honda,Blue,5447763,Illinois,1430.0,W,BYRON,ST,1540,W,WOLFRAM,,CDOT Street Resurfacing,15-02661937
06/12/2015 09:45:00 AM,Pontiac,Black,8091448,Illinois,11606.0,S,WESTERN,AVE,11614,S,WESTERN,,Accident,15-02661540
06/12/2015 09:36:00 AM,Pontiac,Blue,E465954,Illinois,7022.0,S,CHAPPEL,AVE,7001,S,PAXTON,,Water Management,15-02662760
06/12/2015 09:26:00 AM,Chrysler,Tan,V760204,Illinois,121.0,S,STATE,ST,50,E,MONROE,,Broken Down,15-02661022
06/12/2015 09:25:00 AM,Chevrolet,Gold,V613654,Illinois,7010.0,S,CHAPPEL,AVE,7005,S,PAXTON,,Water Management,15-02662759
06/12/2015 09:20:00 AM,Nissan,Gray,MISSK,Illinois,1424.0,W,BYRON,ST,1538,W,WOLFRAM,,CDOT Street Resurfacing,15-02660881
06/12/2015 09:15:00 AM,Ford,Green,BGB0357,Arizona,1151.0,N,CALIFORNIA,AVE,1242,N,CALIFORNIA,,Other,15-02661047
06/12/2015 09:15:00 AM,Suzuki,Blue,5286881,Illinois,4412.0,N,SEELEY,AVE,4403,N,SEELEY,,Forestry,15-02663499
06/12/2015 09:05:00 AM,Kia Motors Corp,Black,E968745,Illinois,2209.0,W,21ST,PL,2259,W,21ST PL,,Water Management,15-02660665
06/12/2015 09:05:00 AM,Nissan,Gray,V519193,Illinois,1135.0,N,CALIFORNIA,AVE,1236,N,CALIFORNIA,,Other,15-02661046
06/12/2015 08:37:00 AM,Buick,Red,V555964,Illinois,4231.0,S,CHAMPLAIN,AVE,4101,S,ST LAWRENCE,,Other,15-02660156
06/12/2015 08:35:00 AM,Honda,Silver,E274675,Illinois,2209.0,W,21ST,PL,2321,S,LEAVITT,,Water Management,15-02660543
06/12/2015 08:32:00 AM,Jeep - Year Greater 1988,Black,EDZ61,Illinois,4313.0,S,CHAMPLAIN,AVE,4308,S,ST LAWRENCE,,Other,15-02660155
06/12/2015 08:25:00 AM,Ford,Maroon,5941229,Illinois,9648.0,S,INDIANA,AVE,64,E,98TH STREET,,Water Management,15-02659585
06/12/2015 08:20:00 AM,Toyota,Silver,3033430,Illinois,4713.0,N,PAULINA,ST,4721,N,PAULINA,,Forestry,15-02663497
06/12/2015 08:19:00 AM,Dodge,Black,8292868,Illinois,6034.0,S,NARRAGANSETT,AVE,6450,W,61ST,,CDOT Street Resurfacing,15-02659837
06/12/2015 08:14:00 AM,Hyundai,Red,V529536,Illinois,6038.0,S,NARRAGANSETT,AVE,6434,W,61ST,,CDOT Street Resurfacing,15-02659667
06/12/2015 08:09:00 AM,Ford,Silver,E213527,Illinois,6040.0,S,NARRAGANSETT,AVE,6432,W,61ST,,CDOT Street Resurfacing,15-02659643
06/12/2015 08:00:00 AM,Volvo,Blue,IB3847,Illinois,1406.0,W,BYRON,ST,3542,N,ASHLAND,,CDOT Street Resurfacing,15-02659628
06/12/2015 07:50:00 AM,Saturn,Brown,2642711,Illinois,3640.0,N,PAULINA,ST,3644,N,PAULINA,,Forestry,15-02663496
06/12/2015 07:23:00 AM,Nissan,White,6053213,Illinois,3802.0,W,59TH,PL,3853,W,59TH PLACE,,Peoples Gas,15-02658244
06/12/2015 07:16:00 AM,Chevrolet,Silver,R374750,Illinois,3804.0,W,59TH,PL,3851,W,59TH PLACE,,Peoples Gas,15-02658214
06/12/2015 07:10:00 AM,Honda,Gray,V398910,Illinois,5934.0,S,HAMLIN,AVE,3807,W,59TH PLACE,,Peoples Gas,15-02658040
06/12/2015 07:10:00 AM,Toyota,Gray,R608124,Illinois,4209.0,N,ST LOUIS,AVE,4225,N,ST LOUIS,,Forestry,15-02663495
06/12/2015 07:09:00 AM,Dodge,Red,V131824,Illinois,530.0,W,66TH,PL,539,W,66TH,,Other,15-02658138
06/12/2015 07:03:00 AM,Chrysler,Gold,Y729675,Illinois,520.0,W,66TH,PL,535,W,66TH,,Other,15-02658137
06/12/2015 06:55:00 AM,Chevrolet,Black,ZFT73,Illinois,3600.0,S,NB OUTER LAKE SHORE,DR,3100,S,LAKE SHORE DRIVE,,Stalled,15-02657948
06/12/2015 06:51:00 AM,Buick,Brown,S133402,Illinois,6605.0,S,NORMAL,BLVD,421,W,66TH,,Other,15-02658136
